mexico,paises,facil
canada,paises,facil
brasil,paises,facil
argentina,paises,facil
chile,paises,facil
peru,paises,facil
colombia,paises,facil
ecuador,paises,facil
venezuela,paises,facil
bolivia,paises,facil
uruguay,paises,facil
paraguay,paises,facil
cuba,paises,facil
panama,paises,facil
costa rica,paises,facil
guatemala,paises,facil
honduras,paises,facil
el salvador,paises,facil
nicaragua,paises,facil
jamaica,paises,facil
haiti,paises,facil
dominicana,paises,facil
españa,paises,facil
francia,paises,facil
italia,paises,facil
alemania,paises,facil
portugal,paises,facil
inglaterra,paises,facil
irlanda,paises,facil
suiza,paises,facil
australia,paises,media
nueva zelanda,paises,media
sudafrica,paises,media
egipto,paises,media
marruecos,paises,media
argelia,paises,media
turquia,paises,media
grecia,paises,media
noruega,paises,media
suecia,paises,media
finlandia,paises,media
dinamarca,paises,media
polonia,paises,media
hungria,paises,media
chequia,paises,media
eslovaquia,paises,media
croacia,paises,media
serbia,paises,media
bulgaria,paises,media
rumania,paises,media
ucrania,paises,media
bielorrusia,paises,media
lituania,paises,media
letonia,paises,media
estonia,paises,media
islandia,paises,media
belgica,paises,media
paises bajos,paises,media
luxemburgo,paises,media
austria,paises,media
kazajistan,paises,dificil
uzbekistan,paises,dificil
kirguistan,paises,dificil
tayikistan,paises,dificil
turkmenistan,paises,dificil
azerbaiyan,paises,dificil
georgia,paises,dificil
armenia,paises,dificil
mongolia,paises,dificil
laos,paises,dificil
camboya,paises,dificil
myanmar,paises,dificil
butan,paises,dificil
nepal,paises,dificil
bangladesh,paises,dificil
sri lanka,paises,dificil
maldivas,paises,dificil
brunei,paises,dificil
timor oriental,paises,dificil
liechtenstein,paises,dificil
san marino,paises,dificil
andorra,paises,dificil
moldavia,paises,dificil
macedonia,paises,dificil
montenegro,paises,dificil
bosnia,paises,dificil
eslovenia,paises,dificil
malta,paises,dificil
chipre,paises,dificil
singapur,paises,dificil
