bacan,modismos,facil
fome,modismos,facil
pololo,modismos,facil
luca,modismos,facil
cachai,modismos,facil
carrete,modismos,facil
cuatico,modismos,facil
poh,modismos,facil
altiro,modismos,facil
weon,modismos,facil
piola,modismos,media
peliar,modismos,media
pata,modismos,media
guagua,modismos,media
copete,modismos,media
pelolais,modismos,media
taco,modismos,media
chato,modismos,media
jote,modismos,media
laraja,modismos,media
achacado,modismos,dificil
aperrado,modismos,dificil
cachilupi,modismos,dificil
chamullo,modismos,dificil
charcha,modismos,dificil
flaite,modismos,dificil
gamba,modismos,dificil
manoso,modismos,dificil
